Block,Depth,Width,FLOPs,accuracy_imagenet5,accuracy_weather,accuracy_bloodcell
1,1,1,32116485.0,0.8070987462997437,0.8306451737880707,0.9578343331813812
1,1,2,62103109.0,0.836612656712532,0.8294930756092072,0.963697612285614
1,1,3,104976773.0,0.8277391940355301,0.8306451588869095,0.9705588817596436
1,1,4,160737477.0,0.8418209850788116,0.8433179557323456,0.9640718698501587
1,1,5,229385221.0,0.8435570895671844,0.8294930905103683,0.9792914092540741
1,1,6,310920005.0,0.8512731492519379,0.8536866456270218,0.9715568870306015
1,2,1,41038085.0,0.8495370298624039,0.8559907823801041,0.9886477142572403
1,2,2,96798277.0,0.8659336417913437,0.8744239658117294,0.9918912053108215
1,2,3,182297477.0,0.8707561641931534,0.8721197992563248,0.9928892105817795
1,2,4,297535685.0,0.8711419701576233,0.8629032224416733,0.9975050091743469
1,2,5,442512901.0,0.882137343287468,0.8571428656578064,0.9996257424354553
1,2,6,617229125.0,0.8813657313585281,0.867511510848999,0
1,3,1,49959685.0,0.8582175821065903,0.872119814157486,0.9913922101259232
1,3,2,131493445.0,0.8854166716337204,0.8698156476020813,0.9930139780044556
1,3,3,259618181.0,0.8865740597248077,0.850230410695076,0.9958832412958145
1,3,4,434333893.0,0.8792438358068466,0.877880185842514,0.9977544993162155
1,3,5,655640581.0,0.876736119389534,0.8859446942806244,0.9991267323493958
1,3,6,923538245.0,0.8940972238779068,0.8836405575275421,0.9990019798278809
1,4,1,58881285.0,0.8607252985239029,0.8582949340343475,0.9896457195281982
1,4,2,166188613.0,0.8813657462596893,0.8686635941267014,0.99525947868824
1,4,3,336938885.0,0.8888889104127884,0.8629032373428345,0.9975049793720245
1,4,4,571132101.0,0.8894675672054291,0.8744239509105682,0.9976297318935394
1,4,5,868768261.0,0.8894675970077515,0.8594470024108887,0.9987524896860123
1,4,6,1229847365.0,0.8964120149612427,0.888248860836029,0.9995009899139404
1,5,1,67802885.0,0.8769290000200272,0.8709677457809448,0.9942614585161209
1,5,2,200883781.0,0.8939043283462524,0.8767281323671341,0.9970059841871262
1,5,3,414259589.0,0.8859953731298447,0.872119814157486,0.999001994729042
1,5,4,707930309.0,0.8869598656892776,0.8836405575275421,0.9991267323493958
1,5,5,1081895941.0,0.8971836566925049,0.8894009292125702,0.9993762373924255
1,5,6,1536156485.0,0.8967978358268738,0.8790322542190552,0.9997504949569702
1,6,1,76724485.0,0.8562885820865631,0.8813364058732986,0.9935129731893539
1,6,2,235578949.0,0.8836805522441864,0.8951612710952759,0.9980039894580841
1,6,3,491580293.0,0.8946759253740311,0.8951612710952759,0.9983782321214676
1,6,4,844728517.0,0.8925540000200272,0.8801843225955963,0.9988772422075272
1,6,5,1295023621.0,0.889660507440567,0.8813364058732986,0.9991267323493958
1,6,6,1842465605.0,0.8989197462797165,0.888248860836029,0.9997504949569702
1,7,1,85646085.0,0.8697916716337204,0.8882488459348679,0.9946357160806656
1,7,2,270274117.0,0.8908178955316544,0.8767281174659729,0.9972555041313171
1,7,3,568900997.0,0.9021990746259689,0.8663594424724579,0.9997504949569702
1,7,4,981526725.0,0.9018132835626602,0.867511510848999,0.9996257424354553
1,7,5,1508151301.0,0.9012345671653748,0.8859447091817856,0.9993762522935867
1,7,6,2148774725.0,0.9056712985038757,0.8698156625032425,0.9991267323493958
1,8,1,94567685.0,0.8829089403152466,0.8859446942806244,0.997255489230156
1,8,2,304969285.0,0.8759645074605942,0.8951613008975983,0.9986277371644974
1,8,3,646221701.0,0.8948688358068466,0.8755760341882706,0.9987524896860123
1,8,4,1118324933.0,0.9002700597047806,0.8951612859964371,0.9996257424354553
1,8,5,1721278981.0,0.8983410447835922,0.9032257944345474,0.9993762373924255
1,8,6,2455083845.0,0.9014274775981903,0.8790322542190552,0.9996257424354553
1,9,1,103489285.0,0.8738425970077515,0.8732718825340271,0.9937624484300613
1,9,2,339664453.0,0.8944830298423767,0.8917050659656525,0.9988772422075272
1,9,3,723542405.0,0.8967978358268738,0.8940092027187347,0.9992514848709106
1,9,4,1255123141.0,0.9037422835826874,0.8870967775583267,0.9995009899139404
1,9,5,1934406661.0,0.9029706716537476,0.8928571343421936,0.9996257424354553
1,9,6,2761392965.0,0.9014274775981903,0.882488489151001,1.0
2,1,1,46956357.0,0.8520447611808777,0.8629032224416733,0.9786676615476608
2,1,2,120532677.0,0.8709490746259689,0.8640552908182144,0.9912674576044083
2,1,3,235745861.0,0.8724922835826874,0.8698156625032425,0.9953842312097549
2,1,4,392595909.0,0.8751928955316544,0.8744239509105682,0.9952594935894012
2,1,5,591082821.0,0.8873456716537476,0.8709677457809448,0.9976297467947006
2,1,6,831206597.0,0.8715277761220932,0.872119814157486,0.9927644729614258
2,2,1,64553285.0,0.8686342537403107,0.8801843374967575,0.9951347261667252
2,2,2,189433541.0,0.8831018507480621,0.8686635941267014,0.9978792518377304
2,2,3,389657669.0,0.8958333283662796,0.8905529975891113,0.9982534795999527
2,2,4,665225669.0,0.8935185223817825,0.8790322542190552,0.9987524896860123
2,2,5,1016137541.0,0.887924388051033,0.879032239317894,0.999126747250557
2,2,6,1442393285.0,0.9043209850788116,0.8836405575275421,0.9992514997720718
2,3,1,82150213.0,0.8782793134450912,0.877880185842514,0.997255489230156
2,3,2,258334405.0,0.8952546268701553,0.8847926408052444,0.9981287270784378
2,3,3,543569477.0,0.8967978358268738,0.8940092027187347,0.9992514848709106
2,3,4,937855429.0,0.8993055373430252,0.8859446942806244,0.9992514997720718
2,3,5,1441192261.0,0.9025848805904388,0.8801843374967575,0.9988772422075272
2,3,6,2053579973.0,0.899112656712532,0.889400914311409,0.9991267323493958
2,4,1,99747141.0,0.8885030895471573,0.8790322691202164,0.9951347410678864
2,4,2,327235269.0,0.9031635820865631,0.8859447091817856,0.9978792369365692
2,4,3,697481285.0,0.8848379552364349,0.9009216576814651,1.0
2,4,4,1210485189.0,0.9066357910633087,0.8801843225955963,0.9993762373924255
2,4,5,1866246981.0,0.9008487462997437,0.8951613008975983,1.0
2,4,6,2664766661.0,0.9002700597047806,0.889400914311409,0.9995009899139404
2,5,1,117344069.0,0.8858024775981903,0.888248860836029,0.9961327165365219
2,5,2,396136133.0,0.9004629701375961,0.8917050659656525,0.9995009899139404
2,5,3,851393093.0,0.9037422835826874,0.8847926259040833,0.9990019798278809
2,5,4,1483114949.0,0.9056712985038757,0.8951613008975983,1.0
2,5,5,2291301701.0,0.9027777910232544,0.8951612859964371,0.9993762522935867
2,5,6,3275953349.0,0.8977623581886292,0.8963133692741394,0.9997504949569702
2,6,1,134940997.0,0.8917824029922485,0.8870967775583267,0.9976297318935394
2,6,2,465036997.0,0.8939043283462524,0.8767280876636505,0.9973802417516708
2,6,3,1005304901.0,0.9083719253540039,0.8767281174659729,0.9996257424354553
2,6,4,1755744709.0,0.9002700597047806,0.9066820293664932,0.9996257424354553
2,6,5,2716356421.0,0.9002700746059418,0.8790322542190552,0.9998752474784851
2,6,6,3887140037.0,0.9135802686214447,0.8905530124902725,0.9991267323493958
2,7,1,152537925.0,0.8782793134450912,0.8744239509105682,0.9963822215795517
2,7,2,533937861.0,0.8873456865549088,0.8986175060272217,0.9982534945011139
2,7,3,1159216709.0,0.9021990597248077,0.8824884742498398,0.999126747250557
2,7,4,2028374469.0,0.9002700448036194,0.8917050659656525,0.9997504949569702
2,7,5,3141411141.0,0.9070216119289398,0.8790322542190552,0.9997504949569702
2,7,6,4498326725.0,0.9139660596847534,0.8882488459348679,0.9998752474784851
2,8,1,170134853.0,0.8792438060045242,0.8456221222877502,0.9961327314376831
2,8,2,602838725.0,0.8985339552164078,0.8847926259040833,0.9985029846429825
2,8,3,1313128517.0,0.8952546268701553,0.8813364058732986,0.9988772422075272
2,8,4,2301004229.0,0.9010416716337204,0.8940092176198959,0.9992514848709106
2,8,5,3566465861.0,0.8948688358068466,0.8686635941267014,0.999126747250557
2,8,6,5109513413.0,0.9020061641931534,0.8986175209283829,0.9997504949569702
2,9,1,187731781.0,0.8757716119289398,0.8156682103872299,0.9963822364807129
2,9,2,671739589.0,0.8913966119289398,0.8813364058732986,0.9990019798278809
2,9,3,1467040325.0,0.8952546268701553,0.8732718974351883,0.9990019798278809
2,9,4,2573633989.0,0.8942901194095612,0.860599085688591,0.9992514848709106
2,9,5,3991520581.0,0.9004629701375961,0.8870967626571655,0.9997504949569702
2,9,6,5720700101.0,0.9025848805904388,0.8940092176198959,0.9993762373924255
3,1,1,61570373.0,0.8641975373029709,0.877880185842514,0.9907684624195099
3,1,2,178522821.0,0.8817515522241592,0.8755760341882706,0.9948852360248566
3,1,3,365874245.0,0.8962191492319107,0.8744239807128906,0.997130736708641
3,1,4,623624645.0,0.8784722238779068,0.8767281025648117,0.9993762373924255
3,1,5,951774021.0,0.890625,0.8790322542190552,0.9991267323493958
3,1,6,1350322373.0,0.8873456716537476,0.8675115257501602,0.999001994729042
3,2,1,87724869.0,0.8998842537403107,0.8767281025648117,0.9963822364807129
3,2,2,281406149.0,0.8983410596847534,0.8755760341882706,0.9987524896860123
3,2,3,596060741.0,0.9031635820865631,0.8905529826879501,0.9988772422075272
3,2,4,1031688645.0,0.9021990746259689,0.8790322542190552,0.9991267323493958
3,2,5,1588289861.0,0.8983410447835922,0.8963133543729782,0.9995009899139404
3,2,6,2265864389.0,0.8979552537202835,0.8790322542190552,0.9995009899139404
3,3,1,113879365.0,0.8910107910633087,0.8859446942806244,0.9981287568807602
3,3,2,384289477.0,0.8962191343307495,0.8801843374967575,0.9986277371644974
3,3,3,826247237.0,0.907986119389534,0.8917050659656525,0.9997504949569702
3,3,4,1439752645.0,0.916859582066536,0.8824884742498398,0.9998752474784851
3,3,5,2224805701.0,0.9052854925394058,0.8859447091817856,0.9998752474784851
3,3,6,3181406405.0,0.9012345671653748,0.899769589304924,0.9997504949569702
3,4,1,140033861.0,0.8913966119289398,0.8813364058732986,0.9983782321214676
3,4,2,487172805.0,0.8958333283662796,0.8801843523979187,0.9993762373924255
3,4,3,1056433733.0,0.9012345671653748,0.9009216576814651,0.9986277371644974
3,4,4,1847816645.0,0.9058642089366913,0.8940092027187347,0.9996257424354553
3,4,5,2861321541.0,0.9091435223817825,0.8836405575275421,1.0
3,4,6,4096948421.0,0.8975694477558136,0.8801843374967575,0.9995009899139404
3,5,1,166188357.0,0.8859953731298447,0.8525345623493195,0.9972555041313171
3,5,2,590056133.0,0.900077149271965,0.8790322542190552,0.9998752474784851
3,5,3,1286620229.0,0.9031635820865631,0.8905529975891113,0.9995009899139404
3,5,4,2255880645.0,0.899112656712532,0.8790322542190552,0.9998752474784851
3,5,5,3497837381.0,0.9079861044883728,0.8870967626571655,0.9998752474784851
3,5,6,5012490437.0,0.9103009253740311,0.8847926259040833,0.9995009899139404
3,6,1,192342853.0,0.8844521641731262,0.8513824939727783,0.9946357309818268
3,6,2,692939461.0,0.8958333432674408,0.8767281025648117,0.9970059841871262
3,6,3,1516806725.0,0.9041280746459961,0.8847926110029221,0.998877227306366
3,6,4,2663944645.0,0.8937114030122757,0.872119814157486,0.9992514997720718
3,6,5,4134353221.0,0.9122299402952194,0.8767281174659729,0.9995010048151016
3,6,6,5928032453.0,0.9068286865949631,0.8870967775583267,0.9996257424354553
3,7,1,218497349.0,0.8784722238779068,0.8260368704795837,0.9953842163085938
3,7,2,795822789.0,0.8902391940355301,0.828341007232666,0.9965069890022278
3,7,3,1746993221.0,0.8966049402952194,0.8582949340343475,0.9987524896860123
3,7,4,3072008645.0,0.894097238779068,0.8755760341882706,0.9996257424354553
3,7,5,4770869061.0,0.8979552388191223,0.9066820293664932,0.9996257424354553
3,7,6,6843574469.0,0.8940972089767456,0.8571428507566452,0.9998752474784851
3,8,1,244651845.0,0.8645833432674408,0.8467741906642914,0.996257483959198
3,8,2,898706117.0,0.8989197611808777,0.8479262739419937,0.9975049942731857
3,8,3,1977179717.0,0.890625,0.8767281025648117,0.9988772422075272
3,8,4,3480072645.0,0.8927469253540039,0.8605990707874298,0.9987524896860123
3,8,5,5407384901.0,0.9066358059644699,0.8571428507566452,0.9986277520656586
3,8,6,7759116485.0,0.8956404328346252,0.8663594573736191,0.9998752474784851
3,9,1,270806341.0,0.877700611948967,0.6463133692741394,0.9937624782323837
3,9,2,1001589445.0,0.8931327164173126,0.8548387140035629,0.9981287270784378
3,9,3,2207366213.0,0.8987268507480621,0.7983871102333069,0.9977544993162155
3,9,4,3888136645.0,0.9068287163972855,0.8629032075405121,0.9967564940452576
3,9,5,6043900741.0,0.8969907313585281,0.8479262739419937,0.9975049942731857
3,9,6,8674658501.0,0.9004629701375961,0.8767281174659729,0.9997504949569702
4,1,1,78088005.0,0.8807870298624039,0.8940092027187347,0.997380256652832
4,1,2,244326085.0,0.8942901343107224,0.8767281174659729,0.9985029846429825
4,1,3,513731141.0,0.8873456716537476,0.8905529826879501,0.9980040043592453
4,1,4,886303173.0,0.8989197462797165,0.8905529975891113,0.9995009899139404
4,1,5,1362042181.0,0.8929398059844971,0.8847926259040833,0.9986277371644974
4,1,6,1940948165.0,0.8994984477758408,0.8882488459348679,0.999001994729042
4,2,1,114376005.0,0.8856095522642136,0.8940092027187347,0.9995009899139404
4,2,2,387595973.0,0.8913965970277786,0.8905529975891113,0.9995009899139404
4,2,3,834676805.0,0.9039351791143417,0.8744239658117294,0.9992514848709106
4,2,4,1455618501.0,0.8894675970077515,0.8928571343421936,0.9998752474784851
4,2,5,2250421061.0,0.9106867164373398,0.8859446942806244,0.9992514997720718
4,2,6,3219084485.0,0.9108796268701553,0.889400914311409,0.9985029846429825
4,3,1,150664005.0,0.8892746865749359,0.8836405426263809,0.9981287270784378
4,3,2,530865861.0,0.8894675821065903,0.8824884593486786,0.9990019798278809
4,3,3,1155622469.0,0.90625,0.8813364058732986,0.9995009899139404
4,3,4,2024933829.0,0.9048997014760971,0.8940092176198959,0.9996257424354553
4,3,5,3138799941.0,0.9043209999799728,0.8894009292125702,0.9998752474784851
4,3,6,4497220805.0,0.9093364328145981,0.8870967626571655,1.0
4,4,1,186952005.0,0.8848379552364349,0.8709677308797836,0.9930139780044556
4,4,2,674135749.0,0.8948688358068466,0.8974654376506805,0.999001994729042
4,4,3,1476568133.0,0.8946759402751923,0.8790322542190552,0.9991267323493958
4,4,4,2594249157.0,0.9043209850788116,0.899769589304924,0.9996257424354553
4,4,5,4027178821.0,0.895061731338501,0.8974654376506805,0.9980039894580841
4,4,6,5775357125.0,0.9076002985239029,0.8882488459348679,0.999001994729042
4,5,1,223240005.0,0.8825231492519379,0.8617511540651321,0.9898952096700668
4,5,2,817405637.0,0.8859953731298447,0.8433179706335068,0.9966317415237427
4,5,3,1797513797.0,0.8987268507480621,0.877880185842514,0.998128741979599
4,5,4,3163564485.0,0.8960262387990952,0.8801843225955963,0.9988772422075272
4,5,5,4915557701.0,0.9060570895671844,0.8859447091817856,0.998877227306366
4,5,6,7053493445.0,0.9104938209056854,0.8698156625032425,1.0
4,6,1,259528005.0,0.8875385820865631,0.6336405575275421,0.9943862408399582
4,6,2,960675525.0,0.8962191343307495,0.8536866307258606,0.996257483959198
4,6,3,2118459461.0,0.8935185074806213,0.6670506745576859,0.9991267323493958
4,6,4,3732879813.0,0.8983410447835922,0.8375575989484787,0.9995009899139404
4,6,5,5803936581.0,0.9116512387990952,0.861751139163971,0.9995009899139404
4,6,6,8331629765.0,0.901234582066536,0.8640552908182144,0.9970059990882874
4,7,1,295816005.0,0.8726851642131805,0.6359447091817856,0.987150713801384
4,7,2,1103945413.0,0.8877314776182175,0.6486174911260605,0.9952594637870789
4,7,3,2439405125.0,0.9021990597248077,0.649769589304924,0.9961327463388443
4,7,4,4302195141.0,0.9041280895471573,0.6532258093357086,0.9963822364807129
4,7,5,6692315461.0,0.8969907313585281,0.8456221222877502,0.9965069890022278
4,7,6,9609766085.0,0.9120370447635651,0.8582949340343475,0.999126747250557
4,8,1,332104005.0,0.8587963134050369,0.4942396357655525,0.9831586629152298
4,8,2,1247215301.0,0.8975694477558136,0.7926267236471176,0.9923902153968811
4,8,3,2760350789.0,0.8902391940355301,0.6198156625032425,0.9970059841871262
4,8,4,4871510469.0,0.9093364328145981,0.8444700539112091,0.9991267323493958
4,8,5,7580694341.0,0.8912037014961243,0.6728110611438751,0.9975049942731857
4,8,6,10887902405.0,0.897762343287468,0.6635944545269012,0.9977544844150543
